Aircraft,Origin,Destination,Departure Time,Arrival Time,Flight Duration,Direct Passengers,Transfer Passengers,Total Passengers,Transfer Details,Load Factor,Flight Profit [€]
Twin-engine Jet #0,AMS,LHR,06:48,08:30,01:42,120,0,120,,1.0,1664.0
Twin-engine Jet #0,LHR,AMS,08:30,10:12,01:42,98,22,120,To: CDG(22),1.0,1664.0
Twin-engine Jet #0,AMS,LHR,10:12,11:54,01:42,120,0,120,,1.0,1664.0
Twin-engine Jet #0,LHR,AMS,11:54,13:36,01:42,87,33,120,"To: DUB(10), EDI(23)",1.0,1664.0
Twin-engine Jet #0,AMS,LHR,13:36,15:18,01:42,120,0,120,,1.0,1664.0
Twin-engine Jet #0,LHR,AMS,15:18,17:00,01:42,116,4,120,To: MUC(4),1.0,1664.0
Twin-engine Jet #0,AMS,CDG,17:00,18:48,01:48,120,0,120,,1.0,1714.3
Twin-engine Jet #0,CDG,AMS,18:48,20:36,01:48,120,0,120,,1.0,1714.3
Twin-engine Jet #0,AMS,LHR,20:36,22:18,01:42,120,0,120,,1.0,1664.0
Twin-engine Jet #0,LHR,AMS,22:18,24:00,01:42,120,0,120,,1.0,1664.0
Twin-engine Jet #1,AMS,CDG,08:06,09:54,01:48,120,0,120,,1.0,1714.3
Twin-engine Jet #1,CDG,AMS,09:54,11:42,01:48,89,31,120,To: LHR(31),1.0,1714.3
Twin-engine Jet #1,AMS,CDG,11:54,13:42,01:48,98,22,120,From: LHR(22),1.0,1774.4
Twin-engine Jet #1,CDG,AMS,14:00,15:48,01:48,120,0,120,,1.0,1714.3
Twin-engine Jet #1,AMS,LHR,15:48,17:30,01:42,120,0,120,,1.0,1664.0
Twin-engine Jet #1,LHR,AMS,17:30,19:12,01:42,116,4,120,To: MUC(4),1.0,1664.0
Twin-engine Jet #1,AMS,LHR,19:12,20:54,01:42,120,0,120,,1.0,1664.0
Twin-engine Jet #1,LHR,AMS,20:54,22:36,01:42,120,0,120,,1.0,1664.0
Regional Jet #0,AMS,TXL,06:00,07:48,01:48,56,0,56,,1.0,671.4
Regional Jet #0,TXL,AMS,07:48,09:36,01:48,52,4,56,To: LHR(4),1.0,671.4
Regional Jet #0,AMS,TXL,09:36,11:24,01:48,56,0,56,,1.0,671.4
Regional Jet #0,TXL,AMS,11:24,13:12,01:48,56,0,56,,1.0,671.4
Regional Jet #0,AMS,LHR,13:12,14:48,01:36,56,0,56,,1.0,606.8
Regional Jet #0,LHR,AMS,14:48,16:24,01:36,56,0,56,,1.0,606.8
Regional Jet #0,AMS,DUB,16:24,18:24,02:00,46,10,56,From: LHR(10),1.0,833.2
Regional Jet #0,DUB,AMS,18:24,20:24,02:00,56,0,56,,1.0,695.5
Regional Jet #0,AMS,TXL,20:24,22:12,01:48,56,0,56,,1.0,671.4
Regional Jet #0,TXL,AMS,22:12,24:00,01:48,56,0,56,,1.0,671.4
Regional Jet #1,AMS,LHR,07:00,08:36,01:36,56,0,56,,1.0,606.8
